File,Title,Log,Lat,Description,Image,Group
28 Mouth of Apishpa R Ferry Arkansas August 1st 1853,"(Mouth of the Apishpa River) Ferry Arkansas, August 1, 1853",-103.9743443,38.12783685,August 1 1853,,Sketch
282 from Camp 62,"From Camp 62, Sept. 12, 1853",-107.525792,38.411026,"September 11, 1853",,Sketch
288 From 910 Sep 14 Un-com-pah-gre Mts,"From 9:10 September 14, Uncompahgre Mountains",-107.729463,38.491959,"September 14, 1853",,Sketch
292 Elk Mts,Elk Mountains [September 16 or 17] ,-108.010429,38.737205,"September 16, 1853",,Sketch
295 Salt Creek Canon,"Salt Creek Canyon,  Sept. 21, 1853",-108.899659,39.2352,"September 21, 1853",,Sketch
298 Desert Between Grand and Green R,Desert between Grand and Green rivers [September 28?],-109.222153,39.078727,"September 22, 1853",,Sketch
299Sept 28 Desert between Grand and Green R,September 28: Desert between Grand and Green rivers,-109.400137,38.950414,"September 28, 1853",,Sketch
302 Sept 28 Desert bet Grand and Green Riv,September 28: Desert between Grand and Green rivers,-109.862206,38.904263,"September 28, 1853",,Sketch
305 Book Mts Sept 29th,"Book Mountains, September 29",-109.82345,38.947245,"September 29, 1853",,Sketch
308 From 410 Sept 29 Book Mts,"From 4:10 p.m., September 29, Book Mountains",-110.130871,39.011008,"September 29, 1853",,Sketch
31 August 6th,August 6 [with magnetic bearings],-104.681824,37.665725,,,Sketch
312 Green River Country,Green River country [September 30],-110.131997,39.014196,"September 30, 1853",,Sketch
315 Green river Oct 1,"Green River, October 1",-110.143128,38.993923,"October 1, 1853",,Sketch
320 Oct 2nd Rock Hills,"October 2, Rock Hills",-110.163136,39.025359,"October 1, 1853",,Sketch
323 From Camp 81 on White River…,"From Camp 81 at Sunset, On White River October 4. Near to the Spanish Trail",-110.40172,39.333271,"October 4, 1853",,Sketch
326 On Clever Creek Oct 5,"On Clever Creek, October 5",-110.48948,39.419651,"October 5, 1853",,Sketch
329 On the Garambulla Creek Oct 10,"On the Garambulla Creek, October 10",-111.038061,39.08754,"October 10, 1853",,Sketch
332 Near Wah-satch Pass,"Near Wah-satch Pass, 1:30 [7:30?] p.m., October 12",-111.38176,38.767644,"October 12, 1853",,Sketch
335 Little Mountains,Little Mountains [October 12 or 13],-111.385157,38.768492,"October 12, 1853",,Sketch
338 Bluff and Pictograph,[Bluff and Pictograph],-111.539927,38.830871,"October 13, 1853",,Sketch
339 Sierra de Wahsatch on White Pine Creek,"Sierra de Wahsatch on White Pine Creek, October 14, 1845 [1853]",-111.585984,38.793852,"October 14, 1853",,Sketch
342 entering Sevier R valley,"From 1:10 p.m., October 17, entering the Sevier River Valley from Wasatch Pass",-111.811482,38.93024437,"October 17, 1853",,Sketch
345 form 410 Oct 19 Kah-kah-nak-ah-rah-nit,"From 4:10 October 19, Kah-kah-nak-ah-rah-nit, Wasatch Mountains",-111.958578,39.362774,"October 19, 1853",,Sketch
348 Form Mormon Bridge Sevier river Oct 20th,"From Mormon Bridge, Sevier River, October 20",-111.97158,39.368442,"October 20, 1853",,Sketch
35 Pikes Peak,Pikes Peak [August 6],-104.681824,37.665725,"August 6, 1853",,Sketch
356 Oct 25 1854 Great Basin,"October 25, 1854 [1853], Great Basin",-112.271088,39.097643,"October 25, 1853",,Sketch
44 First chain of Rocky Mts Eastern Base,"First chain of Rocky Mountains, Eastern base [August 6] ",-104.681824,37.665725,August 6 1853,,Sketch
47 2d Huerfano Butte. Upper Huerfano R,"Second Huerfano Butte, Upper Huerfano River [August 8]",-104.8255414,37.761873,"August 8-9, 1853",,Sketch
48 2d Huerfano Butte  Upper Huerfano R,"Second Huerfano Butte, Upper Huerfano River [August 8]",-104.8255414,37.761873,,,Sketch
57 Wet Mountains,Wet Mountains [August 10],-104.7464209,37.641702,"August 10, 1853",,Sketch
60 Main chain Sierra Blanca eastern slopes,"Main chain of Sierra Blanca (eastern slopes), August 10 ",-104.6805866,37.66810382,"August 10, 1853",,Sketch
63 View eastward from El Sangre de Cristo Pass--Huerfano R,View eastward from El Sangre de Cristo Pass (Huerfano River) [August 10?],-105.13605,37.699834,"August 10-11, 1853",,Sketch
66 Huerfano River near camp 40,Huerfano River (near Camp 40) [August 10],-105.13605,37.699834,"August 10-11, 1853",,Sketch
69 Wet Mountains - Huerfano R,Wet Mountains - Huerfano River [August 11?],-105.1721645,37.64096565,"August 11, 1853",,Sketch
72 Les trois Tetons in the distance Sierra Blanca,Les Trois Tetons in the distance (Sierra Blanca) [August 11],-105.172393,37.641702,August 11 1853,,Sketch
74 VIEW OF SANGRE DE CRISTO PASS,"View of Sangre de Cristo Pass looking northeast from camp north of summit, August 11",-105.188914,37.620475,,,Lithograph
78 In Sangre de Cristo Pass--Aug 11th,In Sangre de Cristo Pass (August 11),-105.192024,37.61854,,,Sketch
91 St Louis Valley--Williams Ranch,"San Luis Valley, Williams Ranch, Sangre de Cristo Pass, (Sierra Blanca, Rocky Mountains) [August 19?]",-105.398743,37.500083,"August 19, 1853",,Sketch
94 Main Peaks of Sierra Blanca,Main Peaks of Sierra Blanca [August19?],-105.397032,37.496499,"August 19-23, 1853",,Sketch
